"Key","Source","Title","Artist","Album","Duration","FileName","Path"
"a media luz","TangoTimeTravel","A media luz","Edgardo Donato / Horacio Lagos","Todos de Edgardo Donato 1940-1945, Tango Time Travel 8","0:02:36","146 - A media luz.flac","M:\TangoTimeTravel\Todos de Edgardo Donato 1940-1945\146 - A media luz.flac"
"a media luz","TangoSparks","A Media Luz","Instrumental","TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69","0:03:16","A Media Luz TS609.flac","M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\A Media Luz TS609.flac"
"cambalache","TangoTimeTravel","Cambalache","Juan D'Arienzo / Alberto Echag├╝e","Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1","0:02:56","183 - Cambalache.flac","M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\183 - Cambalache.flac"
"cambalache","TangoTunes","Cambalache","Fernando D├¡az","BAVE 86741 - 37708 B TangoTunes","0:03:32","Cambalache 86741_RP.aiff","M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\Cambalache 86741_RP.aiff"
"champagne tango","TangoTimeTravel","Champagne tango","Carlos Di Sarli / Instr.","Todos de Carlos Di Sarli en Music-Hall 1951-1954, Tango Time Travel 9","0:02:49","38 - Champagne tango.flac","M:\TangoTimeTravel\CARLOS DI SARLI 1951-1954\38 - Champagne tango.flac"
"champagne tango","TangoTunes","Champagne tango","Juan D'Arienzo","BAVE 12364-1 - 38495 A TangoTunes","0:02:32","Champagne tango 12364-1_RP.aiff","M:\TangoTunes\DARIENZO-ALL\DA 1935-1939\Champagne tango 12364-1_RP.aiff"
"el amanecer","TangoTimeTravel","El amanecer","Carlos Di Sarli / Instr.","Todos de Carlos Di Sarli en Music-Hall 1951-1954, Tango Time Travel 9","0:02:28","09 - El amanecer.flac","M:\TangoTimeTravel\CARLOS DI SARLI 1951-1954\09 - El amanecer.flac"
"el amanecer","TangoSparks","El Amanecer","Instrumental","TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69","0:02:19","El Amanecer TS609.flac","M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\El Amanecer TS609.flac"
"el choclo","TangoTimeTravel","El choclo","Carlos Di Sarli / Instr.","Todos de Carlos Di Sarli en Music-Hall 1951-1954, Tango Time Travel 9","0:02:50","81 - El choclo.flac","M:\TangoTimeTravel\CARLOS DI SARLI 1951-1954\81 - El choclo.flac"
"el choclo","TangoTimeTravel","El choclo","Juan D'Arienzo / Instr.","Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1","0:02:32","199 - El choclo.flac","M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\199 - El choclo.flac"
